,ROB,IQ,WIDTH,IPC
1881,512,512,1,0.998901209
1882,512,512,2,1.993620415
1883,512,512,3,2.984183826
1884,512,512,4,3.969829297
1885,512,512,5,4.948045522
1886,512,512,6,5.793742758
1887,512,512,7,6.381620932
1888,512,512,8,6.793478261
1889,512,512,9,7.097232079
1890,512,512,10,7.256894049
1891,512,512,11,7.352941176
1892,512,512,12,7.462686567
1893,512,512,13,7.530120482
1894,512,512,14,7.507507508
1895,512,512,15,7.530120482
1896,512,512,16,7.56429652
1897,512,512,17,7.61614623
1898,512,512,18,7.610350076
1899,512,512,19,7.651109411
1862,512,256,1,0.998901209
1863,512,256,2,1.993620415
1864,512,256,3,2.984183826
1865,512,256,4,3.969829297
1866,512,256,5,4.948045522
1867,512,256,6,5.793742758
1868,512,256,7,6.381620932
1869,512,256,8,6.793478261
1870,512,256,9,7.097232079
1871,512,256,10,7.256894049
1872,512,256,11,7.352941176
1873,512,256,12,7.462686567
1874,512,256,13,7.530120482
1875,512,256,14,7.507507508
1876,512,256,15,7.530120482
1877,512,256,16,7.56429652
1878,512,256,17,7.61614623
1879,512,256,18,7.610350076
1880,512,256,19,7.651109411
1843,512,128,1,0.998901209
1844,512,128,2,1.993620415
1845,512,128,3,2.984183826
1846,512,128,4,3.969829297
1847,512,128,5,4.948045522
1848,512,128,6,5.793742758
1849,512,128,7,6.381620932
1850,512,128,8,6.793478261
1851,512,128,9,7.097232079
1852,512,128,10,7.256894049
1853,512,128,11,7.352941176
1854,512,128,12,7.462686567
1855,512,128,13,7.530120482
1856,512,128,14,7.507507508
1857,512,128,15,7.530120482
1858,512,128,16,7.56429652
1859,512,128,17,7.61614623
1860,512,128,18,7.610350076
1861,512,128,19,7.651109411
1824,512,64,1,0.998901209
1825,512,64,2,1.993620415
1826,512,64,3,2.984183826
1827,512,64,4,3.969829297
1828,512,64,5,4.948045522
1829,512,64,6,5.793742758
1830,512,64,7,6.381620932
1831,512,64,8,6.793478261
1832,512,64,9,7.097232079
1833,512,64,10,7.256894049
1834,512,64,11,7.352941176
1835,512,64,12,7.462686567
1836,512,64,13,7.530120482
1837,512,64,14,7.507507508
1838,512,64,15,7.530120482
1839,512,64,16,7.56429652
1840,512,64,17,7.61614623
1841,512,64,18,7.610350076
1842,512,64,19,7.651109411
1805,512,32,1,0.998901209
1806,512,32,2,1.993620415
1807,512,32,3,2.984183826
1808,512,32,4,3.969829297
1809,512,32,5,4.948045522
1810,512,32,6,5.793742758
1811,512,32,7,6.381620932
1812,512,32,8,6.793478261
1813,512,32,9,7.097232079
1814,512,32,10,7.256894049
1815,512,32,11,7.352941176
1816,512,32,12,7.462686567
1817,512,32,13,7.530120482
1818,512,32,14,7.507507508
1819,512,32,15,7.518796992
1820,512,32,16,7.56429652
1821,512,32,17,7.61614623
1822,512,32,18,7.610350076
1823,512,32,19,7.645259939
1786,512,16,1,0.998901209
1787,512,16,2,1.993620415
1788,512,16,3,2.984183826
1789,512,16,4,3.965107058
1790,512,16,5,4.918839154
1791,512,16,6,5.737234653
1792,512,16,7,6.337135615
1793,512,16,8,6.702412869
1794,512,16,9,6.983240223
1795,512,16,10,7.052186178
1796,512,16,11,7.01754386
1797,512,16,12,7.027406887
1798,512,16,13,7.067137809
1799,512,16,14,7.062146893
1800,512,16,15,7.052186178
1801,512,16,16,7.097232079
1802,512,16,17,7.137758744
1803,512,16,18,7.158196135
1804,512,16,19,7.194244604
1767,512,8,1,0.998901209
1768,512,8,2,1.993223042
1769,512,8,3,2.928257687
1770,512,8,4,3.699593045
1771,512,8,5,4.133939644
1772,512,8,6,4.224757076
1773,512,8,7,4.194630872
1774,512,8,8,4.201680672
1775,512,8,9,4.212299916
1776,512,8,10,4.432624113
1777,512,8,11,4.512635379
1778,512,8,12,4.494382022
1779,512,8,13,4.498425551
1780,512,8,14,4.482294935
1781,512,8,15,4.543389368
1782,512,8,16,4.576659039
1783,512,8,17,4.627487274
1784,512,8,18,4.606172271
1785,512,8,19,4.621072089
1748,512,4,1,0.998901209
1749,512,4,2,1.945525292
1750,512,4,3,2.525252525
1751,512,4,4,2.525252525
1752,512,4,5,2.413709872
1753,512,4,6,2.62605042
1754,512,4,7,2.653223667
1755,512,4,8,2.637826431
1756,512,4,9,2.658160553
1757,512,4,10,2.705627706
1758,512,4,11,2.7100271
1759,512,4,12,2.718868951
1760,512,4,13,2.750275028
1761,512,4,14,2.744237102
1762,512,4,15,2.750275028
1763,512,4,16,2.75558005
1764,512,4,17,2.759381898
1765,512,4,18,2.777006387
1766,512,4,19,2.78551532
1729,512,2,1,0.998901209
1730,512,2,2,1.587301587
1731,512,2,3,1.457938475
1732,512,2,4,1.601537476
1733,512,2,5,1.55159038
1734,512,2,6,1.622060016
1735,512,2,7,1.597188947
1736,512,2,8,1.628399284
